INFO 2024-12-07 16:00:34,297 autoreload Watching for file changes with StatReloader
WARNING 2024-12-09 10:19:09,723 log Not Found: /static/admin/css/nav_sidebar.css
WARNING 2024-12-09 10:19:09,726 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2024-12-09 10:19:09,731 log Not Found: /static/admin/css/dashboard.css
WARNING 2024-12-09 10:19:09,735 log Not Found: /static/admin/css/responsive.css
WARNING 2024-12-09 10:19:09,737 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2024-12-09 10:19:09,739 basehttp "GET /static/admin/css/dashboard.css HTTP/1.1" 404 179
WARNING 2024-12-09 10:19:09,755 log Not Found: /static/admin/js/nav_sidebar.js
WARNING 2024-12-09 10:19:09,756 basehttp "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 179
WARNING 2024-12-09 10:19:09,760 log Not Found: /static/admin/css/nav_sidebar.css
WARNING 2024-12-09 10:19:09,761 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2024-12-09 10:19:09,767 log Not Found: /static/admin/css/dashboard.css
WARNING 2024-12-09 10:19:09,768 log Not Found: /static/admin/css/responsive.css
WARNING 2024-12-09 10:19:09,769 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2024-12-09 10:19:09,769 basehttp "GET /static/admin/css/dashboard.css HTTP/1.1" 404 179
INFO 2024-12-09 10:19:09,923 basehttp "GET /admin/ HTTP/1.1" 200 17358
WARNING 2024-12-09 10:19:09,948 log Not Found: /static/admin/css/base.css
WARNING 2024-12-09 10:19:09,954 log Not Found: /static/admin/css/dark_mode.css
WARNING 2024-12-09 10:19:09,956 log Not Found: /static/admin/js/theme.js
WARNING 2024-12-09 10:19:09,959 log Not Found: /static/admin/css/nav_sidebar.css
WARNING 2024-12-09 10:19:09,967 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2024-12-09 10:19:09,963 log Not Found: /static/admin/css/responsive.css
WARNING 2024-12-09 10:19:09,969 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2024-12-09 10:19:09,966 basehttp "GET /static/admin/js/theme.js HTTP/1.1" 404 179
WARNING 2024-12-09 10:19:09,960 basehttp "GET /static/admin/css/base.css HTTP/1.1" 404 179
WARNING 2024-12-09 10:19:09,967 basehttp "GET /static/admin/css/dark_mode.css HTTP/1.1" 404 179
WARNING 2024-12-09 10:19:09,965 log Not Found: /static/admin/css/dashboard.css
WARNING 2024-12-09 10:19:09,973 basehttp "GET /static/admin/css/dashboard.css HTTP/1.1" 404 179
WARNING 2024-12-09 10:19:09,988 log Not Found: /static/admin/js/nav_sidebar.js
WARNING 2024-12-09 10:19:09,988 basehttp "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 179
WARNING 2024-12-09 10:19:10,008 log Not Found: /static/admin/css/nav_sidebar.css
WARNING 2024-12-09 10:19:10,010 log Not Found: /static/admin/css/responsive.css
WARNING 2024-12-09 10:19:10,012 log Not Found: /static/admin/css/dashboard.css
WARNING 2024-12-09 10:19:10,013 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2024-12-09 10:19:10,013 basehttp "GET /static/admin/css/dashboard.css HTTP/1.1" 404 179
WARNING 2024-12-09 10:19:10,014 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
INFO 2024-12-09 10:19:10,152 basehttp "GET /admin/ HTTP/1.1" 200 17358
WARNING 2024-12-09 10:19:10,179 log Not Found: /static/admin/css/base.css
WARNING 2024-12-09 10:19:10,180 basehttp "GET /static/admin/css/base.css HTTP/1.1" 404 179
WARNING 2024-12-09 10:19:10,182 log Not Found: /static/admin/css/dark_mode.css
WARNING 2024-12-09 10:19:10,186 log Not Found: /static/admin/css/nav_sidebar.css
WARNING 2024-12-09 10:19:10,196 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2024-12-09 10:19:10,190 log Not Found: /static/admin/css/responsive.css
WARNING 2024-12-09 10:19:10,192 log Not Found: /static/admin/css/dashboard.css
WARNING 2024-12-09 10:19:10,199 basehttp "GET /static/admin/css/dashboard.css HTTP/1.1" 404 179
WARNING 2024-12-09 10:19:10,188 log Not Found: /static/admin/js/theme.js
WARNING 2024-12-09 10:19:10,203 basehttp "GET /static/admin/js/theme.js HTTP/1.1" 404 179
WARNING 2024-12-09 10:19:10,193 basehttp "GET /static/admin/css/dark_mode.css HTTP/1.1" 404 179
WARNING 2024-12-09 10:19:10,199 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2024-12-09 10:19:10,231 log Not Found: /static/admin/js/nav_sidebar.js
WARNING 2024-12-09 10:19:10,231 basehttp "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 179
WARNING 2024-12-09 10:19:10,234 log Not Found: /static/admin/css/nav_sidebar.css
WARNING 2024-12-09 10:19:10,236 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2024-12-09 10:19:10,238 log Not Found: /static/admin/css/dashboard.css
WARNING 2024-12-09 10:19:10,240 log Not Found: /static/admin/css/responsive.css
WARNING 2024-12-09 10:19:10,242 basehttp "GET /static/admin/css/dashboard.css HTTP/1.1" 404 179
WARNING 2024-12-09 10:19:10,242 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
INFO 2024-12-09 10:19:10,317 basehttp "GET /admin/ HTTP/1.1" 200 17358
WARNING 2024-12-09 10:19:10,344 log Not Found: /static/admin/css/base.css
WARNING 2024-12-09 10:19:10,346 basehttp "GET /static/admin/css/base.css HTTP/1.1" 404 179
WARNING 2024-12-09 10:19:10,351 log Not Found: /static/admin/css/dark_mode.css
WARNING 2024-12-09 10:19:10,355 log Not Found: /static/admin/css/responsive.css
WARNING 2024-12-09 10:19:10,357 log Not Found: /static/admin/css/nav_sidebar.css
WARNING 2024-12-09 10:19:10,359 log Not Found: /static/admin/js/theme.js
WARNING 2024-12-09 10:19:10,361 log Not Found: /static/admin/css/dashboard.css
WARNING 2024-12-09 10:19:10,362 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2024-12-09 10:19:10,362 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2024-12-09 10:19:10,363 basehttp "GET /static/admin/css/dark_mode.css HTTP/1.1" 404 179
WARNING 2024-12-09 10:19:10,363 basehttp "GET /static/admin/js/theme.js HTTP/1.1" 404 179
WARNING 2024-12-09 10:19:10,364 basehttp "GET /static/admin/css/dashboard.css HTTP/1.1" 404 179
WARNING 2024-12-09 10:19:10,383 log Not Found: /static/admin/js/nav_sidebar.js
WARNING 2024-12-09 10:19:10,385 basehttp "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 179
WARNING 2024-12-09 10:19:10,395 log Not Found: /static/admin/css/nav_sidebar.css
WARNING 2024-12-09 10:19:10,400 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2024-12-09 10:19:10,399 log Not Found: /static/admin/css/dashboard.css
WARNING 2024-12-09 10:19:10,397 log Not Found: /static/admin/css/responsive.css
WARNING 2024-12-09 10:19:10,403 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2024-12-09 10:19:10,402 basehttp "GET /static/admin/css/dashboard.css HTTP/1.1" 404 179
INFO 2024-12-09 10:19:10,507 basehttp "GET /admin/ HTTP/1.1" 200 17358
WARNING 2024-12-09 10:19:10,577 log Not Found: /static/admin/css/base.css
WARNING 2024-12-09 10:19:10,579 log Not Found: /static/admin/css/nav_sidebar.css
WARNING 2024-12-09 10:19:10,581 log Not Found: /static/admin/css/dashboard.css
WARNING 2024-12-09 10:19:10,591 basehttp "GET /static/admin/css/dashboard.css HTTP/1.1" 404 179
WARNING 2024-12-09 10:19:10,587 log Not Found: /static/admin/css/responsive.css
WARNING 2024-12-09 10:19:10,594 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2024-12-09 10:19:10,590 basehttp "GET /static/admin/css/base.css HTTP/1.1" 404 179
WARNING 2024-12-09 10:19:10,591 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2024-12-09 10:19:10,590 log Not Found: /static/admin/js/theme.js
WARNING 2024-12-09 10:19:10,598 basehttp "GET /static/admin/js/theme.js HTTP/1.1" 404 179
WARNING 2024-12-09 10:19:10,583 log Not Found: /static/admin/css/dark_mode.css
WARNING 2024-12-09 10:19:10,600 basehttp "GET /static/admin/css/dark_mode.css HTTP/1.1" 404 179
WARNING 2024-12-09 10:19:10,614 log Not Found: /static/admin/js/nav_sidebar.js
WARNING 2024-12-09 10:19:10,614 basehttp "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 179
WARNING 2024-12-09 10:19:10,635 log Not Found: /static/admin/css/nav_sidebar.css
WARNING 2024-12-09 10:19:10,644 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2024-12-09 10:19:10,646 log Not Found: /static/admin/css/responsive.css
WARNING 2024-12-09 10:19:10,647 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2024-12-09 10:19:10,643 log Not Found: /static/admin/css/dashboard.css
WARNING 2024-12-09 10:19:10,648 basehttp "GET /static/admin/css/dashboard.css HTTP/1.1" 404 179
INFO 2024-12-09 10:19:10,712 basehttp "GET /admin/ HTTP/1.1" 200 17358
WARNING 2024-12-09 10:19:10,772 log Not Found: /static/admin/css/base.css
WARNING 2024-12-09 10:19:10,773 basehttp "GET /static/admin/css/base.css HTTP/1.1" 404 179
WARNING 2024-12-09 10:19:10,778 log Not Found: /static/admin/css/dark_mode.css
WARNING 2024-12-09 10:19:10,778 basehttp "GET /static/admin/css/dark_mode.css HTTP/1.1" 404 179
WARNING 2024-12-09 10:19:10,781 log Not Found: /static/admin/css/nav_sidebar.css
WARNING 2024-12-09 10:19:10,788 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2024-12-09 10:19:10,783 log Not Found: /static/admin/js/theme.js
WARNING 2024-12-09 10:19:10,789 basehttp "GET /static/admin/js/theme.js HTTP/1.1" 404 179
WARNING 2024-12-09 10:19:10,787 log Not Found: /static/admin/css/responsive.css
WARNING 2024-12-09 10:19:10,789 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2024-12-09 10:19:10,785 log Not Found: /static/admin/css/dashboard.css
WARNING 2024-12-09 10:19:10,790 basehttp "GET /static/admin/css/dashboard.css HTTP/1.1" 404 179
WARNING 2024-12-09 10:19:10,812 log Not Found: /static/admin/js/nav_sidebar.js
WARNING 2024-12-09 10:19:10,812 basehttp "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 179
WARNING 2024-12-09 10:19:10,852 log Not Found: /static/admin/css/nav_sidebar.css
WARNING 2024-12-09 10:19:10,852 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2024-12-09 10:19:10,855 log Not Found: /static/admin/css/responsive.css
WARNING 2024-12-09 10:19:10,855 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2024-12-09 10:19:10,858 log Not Found: /static/admin/css/dashboard.css
WARNING 2024-12-09 10:19:10,860 basehttp "GET /static/admin/css/dashboard.css HTTP/1.1" 404 179
INFO 2024-12-09 10:19:10,945 basehttp "GET /admin/ HTTP/1.1" 200 17358
WARNING 2024-12-09 10:19:11,047 log Not Found: /static/admin/css/base.css
WARNING 2024-12-09 10:19:11,049 basehttp "GET /static/admin/css/base.css HTTP/1.1" 404 179
WARNING 2024-12-09 10:19:11,064 log Not Found: /static/admin/css/dark_mode.css
